index,source_id,g_gnd,name,gmd_vdc,status,parent_index,s_source_id,s_g_gnd,s_name,s_gmd_vdc,s_status,s_parent_index,s_index
1,"Any[""gmd_bus"", 1]",10,dc_sub1,-36.80147991141193,1,1,"Any[""gmd_bus"", 1]",10,dc_sub1,-36.80147991141193,1,1,1
2,"Any[""gmd_bus"", 2]",10,dc_sub2,-34.76382020922177,1,2,"Any[""gmd_bus"", 2]",10,dc_sub2,-34.76382020922177,1,2,2
3,"Any[""gmd_bus"", 3]",10,dc_sub3,-39.95580376316531,1,3,"Any[""gmd_bus"", 3]",10,dc_sub3,-39.95580376316531,1,3,3
4,"Any[""gmd_bus"", 4]",10,dc_sub4,0.0,1,4,"Any[""gmd_bus"", 4]",10,dc_sub4,0.0,1,4,4
5,"Any[""gmd_bus"", 5]",10,dc_sub5,0.0,1,5,"Any[""gmd_bus"", 5]",10,dc_sub5,0.0,1,5,5
6,"Any[""gmd_bus"", 6]",10,dc_sub6,0.0,1,6,"Any[""gmd_bus"", 6]",10,dc_sub6,0.0,1,6,6
7,"Any[""gmd_bus"", 7]",10,dc_sub7,-24.95157624440914,1,7,"Any[""gmd_bus"", 7]",10,dc_sub7,-24.95157624440914,1,7,7
8,"Any[""gmd_bus"", 8]",10,dc_sub8,0.0,1,8,"Any[""gmd_bus"", 8]",10,dc_sub8,0.0,1,8,8
9,"Any[""gmd_bus"", 9]",10,dc_sub9,-25.852064348640432,1,9,"Any[""gmd_bus"", 9]",10,dc_sub9,-25.852064348640432,1,9,9
10,"Any[""gmd_bus"", 10]",10,dc_sub10,-8.800168108319154,1,10,"Any[""gmd_bus"", 10]",10,dc_sub10,-8.800168108319154,1,10,10
11,"Any[""gmd_bus"", 11]",10,dc_sub11,17.77906445896878,1,11,"Any[""gmd_bus"", 11]",10,dc_sub11,17.77906445896878,1,11,11
12,"Any[""gmd_bus"", 12]",10,dc_sub12,-64.19718256159494,1,12,"Any[""gmd_bus"", 12]",10,dc_sub12,-64.19718256159494,1,12,12
13,"Any[""gmd_bus"", 13]",10,dc_sub13,-8.471901389950013,1,13,"Any[""gmd_bus"", 13]",10,dc_sub13,-8.471901389950013,1,13,13
14,"Any[""gmd_bus"", 14]",10,dc_sub14,0.0,1,14,"Any[""gmd_bus"", 14]",10,dc_sub14,0.0,1,14,14
