,p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather
0,elu,256,hgt,0.3,256,0.0159225611637258,6,2,4,5e-05,0.6240740740740741,0.6208530110586372,0.6538507342338562,5,0.1941907405853271,461.2853002548218
1,sigmoid,256,hgt,0.4,128,5.671542189490181e-05,9,8,5,1e-05,0.6240740740740741,0.6208530110586372,0.6561840176582336,4,0.1941823959350586,463.96389627456665
2,elu,256,han,0.1,64,0.0572109224721726,8,8,8,0.0001,0.4574074074074074,0.5533865243026018,0.6874091029167175,2,0.1941652297973632,484.3858125209808
3,tanh,256,hgt,0.4,128,0.0086320127259098,7,4,10,0.0,0.6240740740740741,0.6208530110586372,0.6597524285316467,1,0.194155216217041,485.71307134628296
4,relu,64,hgt,0.5,128,0.001,1,2,1,0.0,0.6240740740740741,0.6208530110586372,0.6560096144676208,0,0.1941368579864502,562.0615718364716
5,leakyrelu,32,hgt,0.3,64,4.512619487621619e-05,4,2,9,5e-05,0.2388888888888889,0.5483998709336776,0.6915135979652405,3,0.1941738128662109,882.2673983573914
6,leakyrelu,256,han,0.3,64,0.0011569869161101,7,2,4,0.0,0.4574074074074074,0.5533865243026018,0.687092125415802,8,461.4380519390106,899.6225035190582
7,sigmoid,16,hgt,0.4,64,0.0006856430159759,7,4,1,1e-05,0.6240740740740741,0.6208530110586372,1.23664128780365,7,0.1942119598388672,973.8878216743468
8,tanh,16,hgt,0.0,128,0.0003092566961583,6,1,3,1e-05,0.6537037037037037,0.6264263295297879,1.247365117073059,6,0.1942005157470703,1072.32528591156
9,tanh,64,han,0.3,32,0.0001549302690036,1,8,10,0.0,0.8648148148148148,0.5,0.6954947113990784,11,485.851113319397,1142.7860441207886
10,tanh,32,han,0.5,32,0.0209570340638594,7,2,7,1e-05,0.4574074074074074,0.5533865243026018,0.6870177388191223,9,464.180317401886,1239.6094579696655
11,sigmoid,32,han,0.4,128,0.0614633012060498,10,4,9,1e-05,0.4574074074074074,0.5533865243026018,0.6870229840278625,12,562.1743850708008,1357.875482797623
12,sigmoid,64,han,0.4,32,0.0002321660783843,6,4,10,0.0,0.8648148148148148,0.5,0.7007465362548828,15,974.1336646080016,1580.334434747696
13,tanh,16,han,0.1,64,0.0005399986848449,9,4,10,0.0,0.4574074074074074,0.5533865243026018,1.3573352098464966,10,484.5148856639862,1643.1658062934875
14,tanh,128,han,0.3,32,0.0001335427271977,1,8,9,0.0,0.8648148148148148,0.5,0.6975142955780029,18,1240.503973007202,1752.4098811149595
15,tanh,32,han,0.3,16,2.365254152783418e-05,1,8,9,0.0,0.8648148148148148,0.5,0.692785382270813,17,1143.8214888572693,1902.8167283535004
16,relu,16,hgt,0.3,256,1.5805287455843378e-05,8,8,5,0.0001,0.3648148148148148,0.5865331025783931,1.2802050709724426,13,882.3787417411804,1970.765274047852
17,sigmoid,16,hgt,0.2,32,0.0899085815487336,4,1,5,0.0001,0.2388888888888889,0.5483998709336776,1.3648484349250791,14,899.7193717956543,1988.2953593730929
18,tanh,64,han,0.3,32,6.6804209867971e-05,2,8,10,1e-05,0.8648148148148148,0.5,0.7084158062934875,19,1358.8327836990356,1996.2898890972135
19,relu,16,han,0.4,128,0.0020720692746809,9,8,10,0.0,0.4574074074074074,0.5533865243026018,1.362876534461975,16,1072.4167575836182,2225.8582112789154
20,tanh,32,hgt,0.0,16,0.0003958206811681,5,1,3,5e-05,0.6537037037037037,0.6264263295297879,0.6652345657348633,20,1581.2075135707855,2291.248565435409
21,relu,64,han,0.4,16,2.2206231302582228e-05,1,1,10,1e-05,0.1351851851851851,0.5,0.6980510950088501,22,1753.4482707977295,2377.800688266754
22,tanh,128,han,0.1,32,0.0081678154298141,9,4,10,0.0001,0.4574074074074074,0.5533865243026018,0.6882796287536621,24,1971.8559470176697,2510.120505094528
23,relu,128,han,0.2,16,1.3161037219826005e-05,3,1,10,0.0,0.1351851851851851,0.5,0.7256202101707458,26,1997.4463987350464,2518.061815738678
24,tanh,16,han,0.1,32,1.229601794546064e-05,10,4,5,0.0,0.4574074074074074,0.5533865243026018,1.3576577305793762,21,1644.3670377731323,2636.4353992938995
25,tanh,128,hgt,0.0,128,3.6013304294466126e-05,8,1,2,0.0001,0.6240740740740741,0.6208530110586372,0.6573730111122131,27,2226.9875226020813,2711.2411980628967
26,tanh,64,han,0.4,32,6.13049433183373e-05,1,4,9,0.0001,0.8648148148148148,0.5,0.6992055177688599,29,2378.989223718643,2981.814757585525
27,tanh,16,hgt,0.0,128,5.18591674686521e-05,3,1,3,5e-05,0.6537037037037037,0.6264263295297879,1.2512593269348145,25,1989.5599002838132,2994.949417829513
28,tanh,16,han,0.0,16,2.045748921521714e-05,10,2,10,0.0,0.8648148148148148,0.5,549.6015625,23,1903.884657621384,3030.292951345444
29,sigmoid,64,hgt,0.0,16,0.0003022826434989,5,1,4,0.0,0.6537037037037037,0.6264263295297879,0.6661579608917236,30,2511.1826260089874,3062.5202429294586
30,tanh,16,hgt,0.0,64,0.000356923795857,3,4,1,1e-05,0.6240740740740741,0.6208530110586372,1.2610043287277222,28,2292.4544339179997,3183.4930613040924
31,sigmoid,128,han,0.5,16,2.7171289225106e-05,1,4,10,0.0,0.8648148148148148,0.5,0.6928941011428833,33,2712.3833005428314,3230.255739212036
32,tanh,16,hgt,0.1,64,0.0001170681890147,10,8,1,1e-05,0.5611111111111111,0.6017863952362794,1.3322157859802246,31,2519.128880739212,3443.727231025696
33,sigmoid,64,han,0.4,16,1.9384583216190832e-05,3,4,8,0.0,0.4574074074074074,0.5533865243026018,0.6896489262580872,34,2982.901889562607,3564.000035047531
34,tanh,64,han,0.3,16,0.0001033026636146,1,2,9,0.0001,0.8648148148148148,0.5,0.6915251612663269,36,3031.3929448127747,3682.930377483368
35,sigmoid,16,han,0.2,16,0.0796276589968439,7,1,5,0.0001,0.8648148148148148,0.5,1.3862940669059751,32,2637.4565258026123,3688.176877260208
36,sigmoid,64,han,0.1,16,1.1022455072199488e-05,2,8,10,0.0,0.4574074074074074,0.5533865243026018,0.6885122656822205,38,3184.637540578842,3796.479910135269
37,relu,32,han,0.0,16,1.849291652294736e-05,10,2,10,0.0,0.8648148148148148,0.5,22.548490524291992,37,3063.794907093048,3844.594413995743
38,tanh,256,han,0.0,16,0.0967560003359327,10,2,10,0.0001,0.1351851851851851,0.5,39.48702239990234,40,3445.1011831760406,3881.451809167862
39,leakyrelu,16,han,0.0,16,0.0720160603793311,4,1,6,0.0001,0.4574074074074074,0.5533865243026018,1.3676934838294983,35,2996.4631321430206,4072.934312582016
40,tanh,16,han,0.0,32,3.283992398193743e-05,9,1,9,0.0001,0.4574074074074074,0.5533865243026018,34.707624435424805,39,3231.401849269867,4357.94601726532
41,sigmoid,32,han,0.0,32,1.041172394615765e-05,10,2,9,0.0001,0.5425925925925926,0.446613475697398,50.38308334350586,42,3683.9754114151,4430.795155525208
42,elu,32,hgt,0.0,16,0.0364068437408716,5,1,6,5e-05,0.4574074074074074,0.5533865243026018,0.6870502233505249,44,3797.538208007813,4533.074151992798
43,tanh,32,hgt,0.0,16,8.44541231468083e-05,6,1,10,5e-05,0.6537037037037037,0.6264263295297879,0.6725085973739624,45,3845.968606233597,4661.368114948273
44,relu,16,han,0.0,16,0.0001575747655981,10,2,9,0.0,0.8648148148148148,0.5,3.4679125547409058,41,3565.0734400749207,4723.246010303497
45,leakyrelu,16,han,0.0,64,0.0012456528391922,10,1,10,0.0,0.8648148148148148,0.5,1.9223945140838623,43,3689.6677782535553,4795.272434234619
46,tanh,16,han,0.0,16,1.1736871832464594e-05,9,1,8,0.0,0.4574074074074074,0.5533865243026018,16.587294578552246,46,3882.4944643974304,4922.310883522034
47,tanh,256,han,0.3,16,0.0005947274041063,1,4,8,0.0001,0.4574074074074074,0.5533865243026018,0.689591109752655,51,4662.510144472122,5082.898254871368
48,tanh,128,hgt,0.0,16,2.0923342528327563e-05,10,1,6,0.0,0.3944444444444444,0.5921064210495438,0.6602837443351746,52,4724.444966316223,5225.310787677765
49,tanh,16,hgt,0.1,16,0.0227478220728441,10,2,10,0.0,0.4574074074074074,0.5533865243026018,1.3630178570747375,47,4074.0926764011374,5286.285860538483
50,tanh,256,han,0.4,32,0.0003320695003058,1,2,9,5e-05,0.8648148148148148,0.5,0.6936720013618469,54,4923.532379388809,5352.829076766968
51,relu,16,hgt,0.0,16,0.0009687629336446,5,1,8,5e-05,0.6537037037037037,0.6264263295297879,1.2418413758277893,48,4358.918602705002,5527.987153768539
52,tanh,16,han,0.0,16,0.0002677800701598,7,1,10,0.0,0.8648148148148148,0.5,1.5398641228675842,49,4432.201812982559,5575.358889102936
53,tanh,16,hgt,0.0,128,0.0002242341170407,5,1,10,5e-05,0.6537037037037037,0.6264263295297879,1.233630895614624,50,4534.147930622101,5769.181347131729
54,tanh,64,hgt,0.0,32,7.142096765583128e-05,3,1,9,1e-05,0.6537037037037037,0.6264263295297879,0.6669497489929199,56,5226.383317708969,5858.217233419418
55,sigmoid,32,hgt,0.0,16,1.1310102744262524e-05,3,1,10,1e-05,0.6537037037037037,0.6264263295297879,0.6644009351730347,55,5083.92179441452,5888.95884680748
56,tanh,16,han,0.0,128,0.0070944211214468,10,2,10,0.0,0.4574074074074074,0.5533865243026018,1.3584946393966677,53,4796.409153461456,5915.3476638793945
57,tanh,256,han,0.5,32,6.255201848819854e-05,1,1,10,0.0001,0.5425925925925926,0.446613475697398,0.6939477324485779,61,5770.496251821518,6206.596317052841
58,sigmoid,256,han,0.5,16,3.5457253798483724e-05,1,8,10,5e-05,0.8648148148148148,0.5,0.6934294700622559,62,5859.561483383179,6310.2130126953125
59,sigmoid,32,han,0.3,16,0.000252872806857,4,2,10,1e-05,0.8648148148148148,0.5,0.691402018070221,60,5576.547324895859,6401.41593337059
60,tanh,16,han,0.0,64,4.864605085939444e-05,10,2,10,5e-05,0.5425925925925926,0.446613475697398,205.6936798095703,57,5287.680629014969,6492.3446679115295
61,tanh,16,han,0.1,64,3.115862455124758e-05,10,2,10,1e-05,0.4574074074074074,0.5533865243026018,1.3686004877090454,58,5354.222180604935,6521.095731973648
62,tanh,32,han,0.0,64,0.0002185724807619,10,2,10,0.0,0.4574074074074074,0.5533865243026018,0.8058943748474121,64,5916.477736711502,6668.863651275635
63,leakyrelu,32,hgt,0.0,64,0.000450013916938,5,1,10,0.0,0.6537037037037037,0.6264263295297879,0.667151153087616,63,5890.29629611969,6696.12708234787
