,p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective,job_id,m:timestamp_submit,m:timestamp_gather
0,elu,256,hgt,0.3,256,0.0159225611637258,6,2,4,5e-05,0.4925403225806452,5,0.0616343021392822,772.0535838603973
1,sigmoid,256,hgt,0.4,128,5.671542189490181e-05,9,8,5,1e-05,0.0372983870967741,4,0.0616250038146972,806.541163444519
2,elu,256,han,0.1,64,0.0572109224721726,8,8,8,0.0001,0.0090725806451612,2,0.061603307723999,848.0866501331329
3,tanh,256,hgt,0.4,128,0.0086320127259098,7,4,10,0.0,0.4925403225806452,1,0.0615911483764648,918.4765768051147
4,leakyrelu,256,han,0.3,64,0.0011569869161101,7,2,4,0.0,0.0090725806451612,8,772.4340090751648,1703.3223702907562
5,leakyrelu,32,hgt,0.3,64,4.512619487621619e-05,4,2,9,5e-05,0.1139112903225806,3,0.0616142749786376,1870.9993226528168
6,tanh,16,hgt,0.0,128,0.0003092566961583,6,1,3,1e-05,0.7788306451612903,6,0.0616443157196044,2158.1309049129486
7,relu,64,hgt,0.5,128,0.001,1,2,1,0.0,0.4002016129032258,0,0.061572790145874,2158.9259366989136
8,tanh,64,han,0.3,32,0.0001549302690036,1,8,10,0.0,0.0090725806451612,11,918.7320442199708,2257.0356228351598
9,tanh,32,han,0.5,32,0.0209570340638594,7,2,7,1e-05,0.0090725806451612,9,806.7895331382751,2393.8554265499115
10,sigmoid,16,hgt,0.4,64,0.0006856430159759,7,4,1,1e-05,0.4002016129032258,7,0.0616540908813476,2534.7434158325195
11,tanh,256,hgt,0.0,64,0.0003439762505161,7,1,3,1e-05,0.6122983870967742,17,2395.9384529590607,3234.8749516010284
12,sigmoid,32,han,0.4,128,0.0614633012060498,10,4,9,1e-05,0.9909274193548387,12,1703.5249643325806,3348.7380051612854
13,tanh,256,hgt,0.0,64,0.0003004997145086,7,8,2,1e-05,0.1139112903225806,18,2536.961182832718,3406.274772644043
14,sigmoid,64,han,0.4,32,0.0002321660783843,6,4,10,0.0,0.0090725806451612,15,2159.315116882324,3561.139028310776
15,tanh,16,han,0.1,64,0.0005399986848449,9,4,10,0.0,0.4925403225806452,10,848.7281143665314,3601.9544746875763
16,relu,16,hgt,0.3,256,1.5805287455843378e-05,8,8,5,0.0001,0.6122983870967742,13,1871.2420785427091,4178.849393129349
17,tanh,128,han,0.0,128,0.0853479901911958,10,4,9,1e-05,0.4925403225806452,20,3351.154324054718,4433.0376052856445
18,tanh,64,hgt,0.0,16,0.0001125378018636,6,1,5,1e-05,0.4002016129032258,19,3237.060776948929,4476.251578092575
19,sigmoid,16,hgt,0.2,32,0.0899085815487336,4,1,5,0.0001,0.9909274193548387,14,2158.3510642051697,4768.797309875488
20,relu,16,han,0.4,128,0.0020720692746809,9,8,10,0.0,0.0090725806451612,16,2257.24117064476,4946.8677983284
21,sigmoid,32,han,0.4,128,0.0183304562185194,10,4,8,1e-05,0.9909274193548387,21,3408.552101612091,4960.939926862717
22,sigmoid,32,han,0.4,256,0.0559524565200441,9,2,6,1e-05,0.0090725806451612,23,3604.063920259476,5049.344075679779
23,sigmoid,32,han,0.5,128,0.0001017911039259,10,4,10,1e-05,0.0090725806451612,24,4181.501036405563,5768.454144716263
24,sigmoid,32,han,0.4,128,0.0051076552132337,10,4,9,1e-05,0.0090725806451612,25,4435.4353239536285,5939.979627370834
25,sigmoid,32,han,0.4,128,8.752774912845604e-05,9,4,9,5e-05,0.0090725806451612,26,4478.404028892517,5980.985402822495
26,relu,32,han,0.4,128,0.0927890748622725,10,1,8,5e-05,0.0090725806451612,27,4770.764792203903,6247.599667787552
27,leakyrelu,32,han,0.5,256,0.0537002780109065,10,4,7,5e-05,0.4925403225806452,28,4949.378125905991,6375.06736946106
28,sigmoid,32,han,0.5,256,0.0047981112838359,10,4,6,0.0,0.0090725806451612,30,5051.84636425972,6451.496955633163
29,tanh,16,han,0.5,128,0.087731966135113,10,1,10,0.0001,0.9909274193548387,22,3563.516075372696,6517.60277223587
30,sigmoid,16,han,0.5,128,0.0709346897886835,5,1,8,5e-05,0.9909274193548387,29,4963.567079782486,7311.906785726547
31,leakyrelu,64,han,0.5,128,0.0548085430984304,10,4,7,0.0,0.0090725806451612,34,6249.476122617722,7398.350958585739
32,elu,32,han,0.3,128,0.0216090734152537,10,4,7,5e-05,0.0090725806451612,32,5941.278050661087,7536.71246266365
33,sigmoid,64,han,0.3,128,0.0544402056584143,10,4,7,1e-05,0.0090725806451612,36,6453.840653419495,7637.363883256912
34,sigmoid,64,han,0.4,32,0.0655783620466414,10,4,9,0.0,0.0090725806451612,37,6519.739349842072,7759.264408826828
35,sigmoid,16,han,0.4,256,0.0753260573695817,10,8,1,1e-05,0.9909274193548387,33,5983.30207157135,7837.179606199264
36,sigmoid,16,han,0.4,128,0.0400317133373292,10,1,8,0.0,0.0090725806451612,31,5770.732979297638,8128.614265918732
37,sigmoid,16,han,0.4,16,0.0304791179008088,10,4,1,1e-05,0.4925403225806452,35,6377.160921096802,8198.74217581749
38,sigmoid,16,han,0.4,128,0.0725702347519321,6,1,1,0.0001,0.4925403225806452,39,7400.599619626999,9164.103341817856
39,sigmoid,16,han,0.5,128,0.0184882606125398,2,1,5,0.0001,0.9909274193548387,38,7314.177496671677,9409.062826871872
40,sigmoid,16,han,0.5,64,0.0630622926883823,4,1,3,0.0001,0.9909274193548387,42,7761.39683508873,9532.12433385849
41,sigmoid,16,han,0.5,16,0.0180986482113872,6,1,9,0.0001,0.9909274193548387,41,7639.640698671341,9731.700090885162
42,sigmoid,16,han,0.5,128,0.0890876027451186,5,4,7,0.0001,0.9909274193548387,43,7839.3617374897,9861.538905382156
43,sigmoid,16,han,0.2,256,0.093080669595768,5,1,5,0.0001,0.9909274193548387,44,8131.112540483475,9872.593312740326
44,tanh,16,han,0.4,32,0.0559120620198917,10,1,10,0.0001,0.9909274193548387,40,7539.167357444763,9879.07900762558
45,sigmoid,16,han,0.5,128,0.0595758285935321,5,4,7,0.0001,0.9909274193548387,45,8201.258907318115,10016.163748025894
46,tanh,256,han,0.5,64,0.0950035628781823,1,4,8,0.0001,0.0090725806451612,51,9873.690969944,10250.56100678444
47,sigmoid,16,han,0.5,128,0.0203383855499938,4,8,8,5e-05,0.9909274193548387,46,9166.102222919464,10468.730803966522
48,sigmoid,64,han,0.3,32,0.0231114539098366,9,1,7,0.0001,0.0090725806451612,53,10017.391703605652,10579.708592414856
49,tanh,32,han,0.5,64,0.0038706889565654,3,2,8,0.0001,0.0090725806451612,52,9880.225256443024,10710.952456235886
50,tanh,64,han,0.2,32,0.0119203333026113,2,1,7,0.0001,0.4925403225806452,54,10251.762087583542,10784.191856861116
51,tanh,16,han,0.5,64,0.0061369992679137,2,1,8,0.0001,0.5074596774193548,48,9533.00179386139,10845.19948744774
52,leakyrelu,16,han,0.5,128,0.0047240231190047,2,1,10,0.0001,0.0090725806451612,47,9410.34731388092,10894.637376785278
53,tanh,16,han,0.5,64,7.029091999285213e-05,1,2,7,0.0001,0.0090725806451612,49,9733.321991920471,10973.498980998991
54,sigmoid,32,han,0.3,16,0.0448360426908251,4,2,8,0.0001,0.9909274193548387,55,10470.531573295591,11296.34329366684
55,elu,16,han,0.5,128,0.0867470921356808,1,1,8,0.0001,0.9909274193548387,50,9862.442890405657,11345.334177017212
56,sigmoid,16,han,0.3,256,0.0739202089146585,4,8,9,1e-05,0.9909274193548387,56,10581.641327381134,11941.424555063248
57,sigmoid,32,han,0.5,128,0.059990972255469,10,2,9,0.0001,0.9909274193548387,62,11297.56829714775,12022.79267168045
58,sigmoid,32,han,0.4,16,0.0193659050500011,5,2,10,0.0001,0.0090725806451612,63,11346.74232006073,12097.857523202896
59,sigmoid,16,han,0.3,256,0.07180183165264,5,8,10,1e-05,0.0090725806451612,58,10784.96792602539,12146.08459830284
60,tanh,16,han,0.5,16,0.0239416701703632,1,1,10,0.0001,0.9909274193548387,57,10712.182825803757,12146.866937875748
61,tanh,16,han,0.5,64,0.0220266465357548,8,2,10,0.0001,0.9909274193548387,60,10895.561713695526,12272.964258909224
62,tanh,16,han,0.5,128,0.0669440209522949,1,2,10,0.0001,0.9909274193548387,59,10846.704486370088,12294.96737742424
63,sigmoid,16,han,0.5,64,0.0814508968709882,4,1,9,5e-05,0.9909274193548387,61,10975.160903215408,12350.064366817474
64,sigmoid,32,han,0.5,16,0.052760612771238,5,1,9,0.0001,0.9909274193548387,69,12274.56978917122,13080.934656858444
65,tanh,32,hgt,0.3,128,0.0502191598118417,3,8,7,0.0001,0.0090725806451612,71,12351.37705731392,13130.252329587936
66,relu,16,han,0.5,32,0.0491551240967254,3,1,7,0.0001,0.9909274193548387,64,11942.961806297302,13198.656249046326
67,sigmoid,16,han,0.5,128,0.0578255324097434,3,2,8,1e-05,0.9909274193548387,67,12146.866612195969,13352.659061431885
68,sigmoid,16,han,0.4,16,0.0247090720980987,5,1,10,0.0001,0.9909274193548387,66,12098.717443943024,13485.405761241913
69,elu,16,han,0.0,32,0.0903204236024331,3,1,6,0.0001,0.9909274193548387,70,12295.998902082443,13508.454716444016
70,relu,16,han,0.1,32,0.0911125742829458,3,4,7,0.0001,0.9909274193548387,68,12148.11946606636,13509.719056606293
71,leakyrelu,16,han,0.2,16,0.0991445631614474,3,2,9,0.0001,0.9909274193548387,65,12023.644694805143,13532.613817691805
72,sigmoid,32,han,0.3,16,0.0622995322560217,2,2,10,0.0001,0.0090725806451612,72,13081.786534786224,13916.213949203491
73,sigmoid,32,han,0.5,16,0.0464062237403712,5,1,10,0.0001,0.9909274193548387,74,13200.246794462204,14028.66956615448
74,tanh,32,han,0.5,32,0.0819638555019883,4,2,7,0.0001,0.0090725806451612,77,13509.283881425858,14248.229199886322
75,sigmoid,32,han,0.3,128,0.0375951184997544,4,2,8,0.0001,0.0090725806451612,76,13486.587347507477,14270.818769693376
76,sigmoid,32,han,0.3,128,0.057377263196998,3,4,8,1e-05,0.0090725806451612,78,13510.921879529951,14298.565933942797
77,relu,32,han,0.1,16,0.0450949217910258,3,4,10,0.0001,0.9909274193548387,79,13534.26953458786,14426.319719791412
78,elu,16,han,0.5,64,0.0967498720201672,1,1,8,5e-05,0.9909274193548387,73,13131.404114484789,14458.729225635529
79,sigmoid,32,han,0.1,32,0.0334439486667006,5,2,8,0.0001,0.4925403225806452,81,14029.895475625992,14800.251332998276
80,tanh,16,han,0.5,16,0.0861139372945667,3,8,10,5e-05,0.0090725806451612,75,13353.614609718325,14894.350485801697
81,sigmoid,32,han,0.4,16,0.0526577131014134,4,2,8,0.0001,0.0090725806451612,82,14249.5970723629,15017.828729391098
82,sigmoid,32,han,0.4,16,0.0673418545767649,8,1,8,0.0001,0.9909274193548387,84,14299.517914533615,15068.730477809906
83,sigmoid,32,han,0.5,128,0.0340373912563874,7,1,10,0.0001,0.0090725806451612,83,14271.99664735794,15108.440017938614
84,relu,16,han,0.4,16,0.088351457103656,4,8,8,5e-05,0.9909274193548387,80,13917.071303129196,15254.960151672363
85,tanh,32,han,0.5,16,0.0271608544323682,7,1,10,0.0001,0.9909274193548387,86,14459.90844488144,15289.0898103714
86,leakyrelu,16,han,0.3,32,0.0370165218395681,1,1,10,0.0001,0.9909274193548387,85,14427.580002069471,15928.858520746233
