,p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective,job_id,m:timestamp_submit,m:timestamp_gather,
0,sigmoid,256,hgt,0.4,128,5.67E-05,9,8,5,1.00E-05,0.990927419,4,0.072841644,826.176748,Picked
3,tanh,256,hgt,0.4,128,0.008632013,7,4,10,0,0.990927419,1,0.072799444,877.6717248,
11,sigmoid,32,han,0.4,128,0.061463301,10,4,9,1.00E-05,0.990927419,12,1383.699928,2783.082131,
18,sigmoid,256,han,0.4,128,0.056024871,10,8,8,0,0.990927419,21,3006.40301,3704.024304,
20,sigmoid,16,hgt,0.2,32,0.089908582,4,1,5,0.0001,0.990927419,14,1734.408893,3936.294397,
29,sigmoid,128,han,0.4,128,0.082042791,10,1,10,0,0.990927419,29,4181.170012,5208.893743,
30,sigmoid,256,han,0.5,128,0.030452772,10,2,8,1.00E-05,0.990927419,30,4347.395593,5240.321682,
35,tanh,64,han,0.4,64,0.066443648,10,2,7,1.00E-05,0.990927419,36,5049.842001,6207.84871,Picked
36,tanh,256,han,0.5,128,0.056167599,10,2,7,0,0.990927419,39,5502.303959,6300.635786,
40,tanh,16,han,0.4,128,0.096012761,10,1,9,1.00E-05,0.990927419,34,4783.921807,7187.085753,
41,leakyrelu,128,han,0.5,64,0.07323447,10,1,10,1.00E-05,0.990927419,44,6302.600717,7225.266894,
42,tanh,16,han,0.4,256,0.054163022,10,1,5,1.00E-05,0.990927419,37,5210.919266,7261.059915,
46,tanh,128,han,0.5,128,0.091261948,10,2,7,5.00E-05,0.990927419,45,6615.313169,7554.205593,
51,tanh,64,han,0.5,16,0.06321552,10,1,8,1.00E-05,0.990927419,52,7527.613746,8519.377566,
53,tanh,128,han,0.5,64,0.096111944,6,1,4,1.00E-05,0.990927419,56,8319.319248,9079.490704,
55,tanh,16,han,0.4,128,0.096699079,9,1,6,0.0001,0.990927419,48,7189.188996,9201.808623,
56,leakyrelu,16,han,0.5,64,0.08125614,10,1,9,5.00E-05,0.990927419,49,7227.263538,9359.279795,Picked
58,leakyrelu,64,han,0.4,128,0.077078428,10,4,9,1.00E-05,0.990927419,59,8521.444322,9506.853071,
59,tanh,32,han,0.4,32,0.078206893,10,2,7,0.0001,0.990927419,58,8380.98436,9529.624021,
60,leakyrelu,16,han,0.4,64,0.074973208,10,1,9,0.0001,0.990927419,54,7556.377694,9688.689587,
62,tanh,128,han,0.5,32,0.067956647,8,2,10,5.00E-05,0.990927419,61,9080.962723,9884.211534,
64,sigmoid,128,han,0.5,64,0.070985558,10,1,7,0,0.990927419,64,9362.272055,10117.55401,
66,leakyrelu,64,han,0.5,32,0.089627993,10,1,7,1.00E-05,0.990927419,67,9531.195721,10384.91943,
72,tanh,16,han,0.5,128,0.098828485,3,1,9,0.0001,0.990927419,65,9425.988337,11509.29331,
74,tanh,32,han,0.5,32,0.081963856,4,2,7,0.0001,0.990927419,77,10716.61787,11987.13817,
76,relu,16,han,0.4,128,0.094122907,10,1,7,0,0.990927419,75,10504.20858,12362.6982,
77,leakyrelu,16,han,0.5,16,0.070206998,5,1,4,5.00E-05,0.990927419,79,10835.91691,12533.42249,
78,sigmoid,16,han,0.4,16,0.069887834,1,1,8,0.0001,0.990927419,76,10579.79572,12724.78186,
79,sigmoid,16,han,0.5,16,0.085808108,8,1,9,0.0001,0.990927419,78,10793.58403,12983.8716,
80,leakyrelu,32,han,0.5,32,0.0761841,6,1,7,5.00E-05,0.990927419,82,11989.77757,13032.50364,
82,sigmoid,16,han,0.4,64,0.058399878,4,1,6,0.0001,0.990927419,81,11627.54262,13352.67968,
86,relu,32,han,0.5,16,0.086089628,8,1,9,5.00E-05,0.990927419,88,13034.07181,13986.25967,
88,elu,16,han,0.4,16,0.083225055,3,1,7,5.00E-05,0.990927419,86,12727.76171,14212.59192,Picked
89,relu,16,han,0.5,128,0.06151148,10,1,8,0.0001,0.990927419,85,12536.26305,14245.34483,
