,p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective,job_id,m:timestamp_submit,m:timestamp_gather
0,elu,256,han,0.1,64,0.0572109224721726,8,8,8,0.0001,0.4574074074074074,2,0.0391108989715576,340.9847049713135
1,elu,256,hgt,0.3,256,0.0159225611637258,6,2,4,5e-05,0.4574074074074074,5,0.0391385555267334,343.863805770874
2,tanh,256,hgt,0.4,128,0.0086320127259098,7,4,10,0.0,0.4574074074074074,1,0.0391011238098144,366.0070161819458
3,sigmoid,256,hgt,0.4,128,5.671542189490181e-05,9,8,5,1e-05,0.6240740740740741,4,0.0391292572021484,376.88301825523376
4,relu,64,hgt,0.5,128,0.001,1,2,1,0.0,0.6240740740740741,0,0.0390839576721191,422.1147880554199
5,leakyrelu,256,han,0.3,64,0.0011569869161101,7,2,4,0.0,0.4574074074074074,8,341.099036693573,687.1917362213135
6,leakyrelu,32,hgt,0.3,64,4.512619487621619e-05,4,2,9,5e-05,0.2388888888888889,3,0.0391197204589843,692.0971643924713
7,sigmoid,16,hgt,0.4,64,0.0006856430159759,7,4,1,1e-05,0.6240740740740741,7,0.0391550064086914,782.5588853359222
8,tanh,64,han,0.3,32,0.0001549302690036,1,8,10,0.0,0.8648148148148148,11,376.9819452762604,873.6993010044098
9,tanh,16,hgt,0.0,128,0.0003092566961583,6,1,3,1e-05,0.6537037037037037,6,0.0391464233398437,875.1491253376007
10,tanh,32,han,0.5,32,0.0209570340638594,7,2,7,1e-05,0.4574074074074074,9,344.022432088852,965.0985503196716
11,sigmoid,32,han,0.4,128,0.0614633012060498,10,4,9,1e-05,0.4574074074074074,12,422.3208603858948,1124.082365512848
12,sigmoid,64,han,0.4,32,0.0002321660783843,6,4,10,0.0,0.8648148148148148,15,782.7546961307526,1289.2666833400726
13,tanh,16,han,0.1,64,0.0005399986848449,9,4,10,0.0,0.8648148148148148,10,366.13832330703735,1377.6696300506592
14,tanh,64,han,0.2,32,0.0001463343153606,1,8,8,5e-05,0.4574074074074074,18,966.0689511299132,1465.957055568695
15,tanh,32,han,0.1,16,2.11425513490991e-05,1,8,6,5e-05,0.4574074074074074,17,876.0598020553589,1508.5206818580627
16,relu,16,hgt,0.3,256,1.5805287455843378e-05,8,8,5,0.0001,0.6240740740740741,13,687.297461271286,1646.95712184906
17,sigmoid,16,hgt,0.2,32,0.0899085815487336,4,1,5,0.0001,0.8648148148148148,14,692.1887314319611,1650.7639379501345
18,tanh,32,hgt,0.1,32,0.0002778150283238,1,8,9,5e-05,0.6537037037037037,19,1124.9370107650757,1912.071685552597
19,relu,16,han,0.4,128,0.0020720692746809,9,8,10,0.0,0.4574074074074074,16,873.7999653816223,1997.1301882267
20,tanh,32,han,0.5,32,0.0001360026952583,4,2,10,0.0,0.8648148148148148,20,1290.1463358402252,2117.136818885803
