,p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective,job_id,m:timestamp_submit,m:timestamp_gather
0,elu,256,hgt,0.3,256,0.0159225611637258,6,2,4,5e-05,0.4574074074074074,5,0.0481562614440918,379.2062768936157
1,elu,256,han,0.1,64,0.0572109224721726,8,8,8,0.0001,0.1351851851851851,2,0.0481142997741699,393.5584840774536
2,sigmoid,256,hgt,0.4,128,5.671542189490181e-05,9,8,5,1e-05,0.3648148148148148,4,0.048142671585083,400.4970507621765
3,tanh,256,hgt,0.4,128,0.0086320127259098,7,4,10,0.0,0.6537037037037037,1,0.048098087310791,416.5226032733917
4,relu,64,hgt,0.5,128,0.001,1,2,1,0.0,0.6240740740740741,0,0.0480604171752929,468.2493903636933
5,leakyrelu,256,han,0.3,64,0.0011569869161101,7,2,4,0.0,0.4574074074074074,8,379.3274629116058,745.9267022609711
6,leakyrelu,32,hgt,0.3,64,4.512619487621619e-05,4,2,9,5e-05,0.1351851851851851,3,0.0481293201446533,783.2671012878418
7,sigmoid,16,hgt,0.4,64,0.0006856430159759,7,4,1,1e-05,0.6240740740740741,7,0.0481860637664794,862.710244178772
8,tanh,16,hgt,0.0,128,0.0003092566961583,6,1,3,1e-05,0.6537037037037037,6,0.0481734275817871,907.5591444969176
9,tanh,64,han,0.3,32,0.0001549302690036,1,8,10,0.0,0.8648148148148148,11,416.6980822086334,1000.4767768383026
10,tanh,32,han,0.5,32,0.0209570340638594,7,2,7,1e-05,0.4574074074074074,9,393.7387342453003,1040.6271369457245
11,sigmoid,32,han,0.4,128,0.0614633012060498,10,4,9,1e-05,0.4574074074074074,12,468.4556381702423,1183.7409524917605
12,sigmoid,64,han,0.4,32,0.0002321660783843,6,4,10,0.0,0.8648148148148148,15,862.922637462616,1415.0100450515747
13,tanh,16,han,0.1,64,0.0005399986848449,9,4,10,0.0,0.4574074074074074,10,400.60527634620667,1453.993780374527
14,tanh,32,han,0.3,32,1.6880747118318832e-05,2,8,7,0.0,0.8648148148148148,17,1001.4120302200316,1657.961193561554
15,relu,16,hgt,0.3,256,1.5805287455843378e-05,8,8,5,0.0001,0.6240740740740741,13,746.0309801101685,1710.870877981186
16,tanh,64,han,0.2,16,0.0009213090866089,1,8,10,5e-05,0.8648148148148148,19,1184.7141873836515,1748.3099629878998
17,sigmoid,16,hgt,0.2,32,0.0899085815487336,4,1,5,0.0001,0.1351851851851851,14,783.3759558200836,1792.9342260360718
18,sigmoid,128,han,0.4,16,6.304766741831416e-05,1,8,8,0.0,0.8648148148148148,20,1416.002270936966,1881.9390523433683
19,relu,16,han,0.4,128,0.0020720692746809,9,8,10,0.0,0.4574074074074074,16,907.6776509284972,1960.571437358856
20,elu,64,han,0.3,16,0.0002344015273054,1,8,10,0.0001,0.8648148148148148,21,1454.9762454032898,2044.672590970993
21,tanh,16,han,0.2,16,2.172998922069679e-05,1,8,10,0.0,0.8648148148148148,18,1041.5119338035583,2084.143352985382
22,leakyrelu,256,han,0.5,32,6.522210346678978e-05,2,2,8,0.0,0.8648148148148148,23,1711.7881813049316,2119.537694454193
23,leakyrelu,128,han,0.3,32,0.008650459936718,2,8,7,0.0001,0.4574074074074074,24,1749.2402484416962,2193.421189546585
24,leakyrelu,64,han,0.0,32,0.0002841709818807,5,8,9,0.0,0.4574074074074074,22,1658.9092597961426,2195.296986103058
25,tanh,128,han,0.0,16,0.0481818480726653,2,8,10,0.0001,0.4574074074074074,25,1793.9458258152008,2261.863642692566
26,leakyrelu,64,han,0.2,16,0.0088561163715024,2,8,5,0.0001,0.4574074074074074,27,1961.5498917102811,2468.7255885601044
27,elu,256,han,0.2,16,0.0002065075512862,4,8,10,0.0001,0.8648148148148148,29,2085.0882275104523,2482.630203008652
28,relu,256,han,0.0,16,0.0007423879755869,3,1,9,0.0001,0.4574074074074074,30,2120.5155444145203,2506.304172754288
29,elu,128,han,0.3,16,1.8342616408966484e-05,4,4,10,0.0001,0.1351851851851851,28,2045.6299059391024,2540.720189809799
30,sigmoid,256,han,0.2,64,1.566668302117562e-05,1,8,10,5e-05,0.1351851851851851,31,2194.5267634391785,2630.832216501236
31,leakyrelu,64,han,0.5,16,0.0006828251420255,3,8,10,5e-05,0.8648148148148148,32,2196.3182129859924,2783.042793035507
32,leakyrelu,16,han,0.2,16,0.0584254512283372,1,8,5,5e-05,0.8648148148148148,26,1883.0130865573883,2795.603865623474
33,tanh,256,han,0.5,32,2.1555176906601364e-05,1,2,5,0.0001,0.4574074074074074,35,2483.8104135990143,2889.367216110229
34,elu,256,han,0.4,16,9.8103826280098e-05,4,8,10,5e-05,0.8648148148148148,37,2541.7516283988957,2928.286844730377
35,tanh,256,han,0.4,16,7.42209328177439e-05,1,4,10,5e-05,0.8648148148148148,38,2631.8362741470337,3014.1272253990173
36,tanh,256,han,0.2,32,3.058560445908181e-05,1,8,10,1e-05,0.8648148148148148,40,2796.5938942432404,3188.975079536438
37,leakyrelu,16,han,0.3,16,1.5783487622936395e-05,3,2,8,0.0,0.8648148148148148,33,2262.8464093208318,3295.92524433136
38,leakyrelu,128,han,0.4,16,0.0001413987920757,2,4,10,0.0,0.8648148148148148,42,2929.3471496105194,3398.442319869995
39,tanh,64,han,0.4,32,1.8325240411122428e-05,1,1,9,0.0,0.1351851851851851,41,2890.470323562622,3441.689747571945
40,sigmoid,16,han,0.3,32,0.0002205210689759,3,1,10,5e-05,0.4574074074074074,34,2469.855796098709,3547.7277286052704
41,elu,16,han,0.5,16,1.169118967381983e-05,4,1,10,0.0001,0.8648148148148148,36,2507.3373835086823,3563.414189338684
42,sigmoid,64,han,0.2,16,3.924354279944438e-05,1,4,10,1e-05,0.8648148148148148,43,3015.1854753494263,3564.4558045864105
43,tanh,64,han,0.5,16,2.7405852353230588e-05,4,4,10,5e-05,0.8648148148148148,45,3296.971084833145,3865.3217458724976
44,elu,16,han,0.4,32,7.679035878318678e-05,3,4,10,5e-05,0.8648148148148148,39,2784.1206510066986,3866.683767557144
45,tanh,32,han,0.1,16,6.305299852744513e-05,1,4,10,5e-05,0.4574074074074074,44,3189.9715814590454,3918.5308072566986
46,elu,256,han,0.4,16,5.688960514502662e-05,4,1,8,1e-05,0.1351851851851851,50,3565.560265302658,3981.116819620133
47,tanh,64,han,0.2,16,2.452186733050434e-05,1,4,9,1e-05,0.8648148148148148,47,3442.7794604301453,4011.883192300797
48,sigmoid,128,han,0.3,16,0.0001061558449862,4,2,10,1e-05,0.8648148148148148,49,3564.455367088318,4021.756393432617
49,leakyrelu,32,han,0.2,32,0.0003648334938211,2,4,10,5e-05,0.8648148148148148,46,3399.452264070511,4134.548571825028
50,leakyrelu,128,han,0.4,16,0.0001093055425523,1,1,6,0.0,0.8648148148148148,51,3866.385890483856,4295.9756400585175
51,elu,128,han,0.2,32,2.25784398969424e-05,3,4,8,1e-05,0.4574074074074074,52,3867.714684009552,4325.757089853287
52,sigmoid,256,han,0.4,32,1.3034829315352476e-05,3,4,9,0.0,0.4574074074074074,56,4022.791517734528,4414.017176866531
53,leakyrelu,64,han,0.3,16,1.5488679451240542e-05,4,4,10,5e-05,0.5425925925925926,53,3919.679819583893,4470.987850666046
54,tanh,16,han,0.4,32,5.5543386824477845e-05,2,4,9,1e-05,0.8648148148148148,48,3548.7522616386414,4572.425192117691
55,tanh,128,han,0.4,32,2.22518794457681e-05,3,4,7,0.0,0.8648148148148148,58,4297.094412565231,4733.090085983276
56,elu,64,han,0.4,16,1.6208905240565635e-05,2,1,10,0.0,0.1351851851851851,55,4013.0089976787567,4788.828046798706
57,leakyrelu,32,han,0.5,16,7.84977065404596e-05,1,1,10,1e-05,0.8648148148148148,57,4135.585603237152,4856.666836977005
58,elu,16,han,0.5,16,3.15553189431979e-05,2,1,10,1e-05,0.8648148148148148,54,3982.200599193573,5054.018738269806
59,leakyrelu,32,han,0.3,16,1.44013807634721e-05,4,1,10,0.0,0.8648148148148148,60,4415.075791120529,5162.942977428436
60,leakyrelu,256,han,0.4,16,0.0001988283905658,4,8,9,1e-05,0.8648148148148148,64,4789.890286445618,5176.834821462631
61,leakyrelu,64,han,0.2,16,1.0021469941535692e-05,1,1,7,0.0,0.1351851851851851,63,4734.214857578278,5248.867264986038
62,tanh,16,han,0.3,32,2.9176539951079267e-05,1,4,9,0.0,0.8648148148148148,59,4326.784511327744,5352.732938528061
63,leakyrelu,256,han,0.3,16,7.562486629263308e-05,1,1,7,0.0,0.4574074074074074,66,5055.131250858307,5426.911296129227
64,leakyrelu,16,han,0.4,16,0.0003654965245537,1,1,8,1e-05,0.4574074074074074,61,4472.03719830513,5510.136115789413
65,sigmoid,16,han,0.5,16,7.945395535197902e-05,4,1,10,0.0,0.8648148148148148,62,4573.479639530182,5606.394204854965
66,elu,128,han,0.4,16,6.598514684285535e-05,1,1,10,5e-05,0.8648148148148148,68,5177.952818870544,5635.954649209976
67,elu,32,han,0.5,16,0.0003248392566095,2,4,9,0.0,0.8648148148148148,67,5164.028769254684,5828.7792320251465
68,leakyrelu,16,han,0.3,16,1.74887241855015e-05,1,1,9,0.0,0.1351851851851851,65,4857.7419583797455,5867.205326557159
69,sigmoid,64,han,0.5,16,1.902830232456285e-05,1,2,9,1e-05,0.8648148148148148,73,5607.471439361572,6177.340326309204
70,elu,16,han,0.3,16,6.519123976179823e-05,1,1,10,1e-05,0.1351851851851851,69,5249.97159409523,6289.072320461273
71,leakyrelu,16,han,0.4,16,1.7449116786888894e-05,1,1,8,0.0,0.4574074074074074,70,5353.827253341675,6295.32649230957
72,sigmoid,64,han,0.5,16,2.115025992540181e-05,1,1,10,0.0,0.8648148148148148,75,5829.806569337845,6368.079876422882
73,elu,64,han,0.4,16,0.0001238266722489,3,2,10,0.0001,0.8648148148148148,76,5868.300075769424,6415.563079833984
74,leakyrelu,16,han,0.5,16,5.516163044263952e-05,4,1,6,1e-05,0.8648148148148148,72,5511.212422132492,6491.82581448555
75,sigmoid,16,han,0.3,16,1.914399200567945e-05,2,1,10,1e-05,0.1351851851851851,71,5428.008140087128,6511.5978145599365
76,tanh,128,han,0.5,16,7.059565757458708e-05,3,1,8,1e-05,0.8648148148148148,77,6178.441177845001,6691.793769359589
77,sigmoid,16,han,0.5,16,1.2583909806294596e-05,1,1,10,5e-05,0.8648148148148148,74,5637.090465068817,6726.998721599579
78,relu,128,han,0.5,16,0.000106096577401,3,1,7,0.0,0.8648148148148148,80,6369.196558713913,6810.280433893204
79,tanh,64,han,0.5,16,5.1669577410414745e-05,6,1,9,1e-05,0.8648148148148148,78,6290.230316400528,6848.540338039398
80,tanh,128,han,0.3,32,4.5880690085802224e-05,2,2,10,0.0,0.4574074074074074,82,6492.96608376503,6948.567694187164
81,leakyrelu,64,han,0.4,16,0.0001329275332109,2,1,10,5e-05,0.8648148148148148,81,6416.792986631393,6961.3833360672
82,sigmoid,32,han,0.2,32,7.177123950471024e-05,1,2,10,0.0,0.4574074074074074,79,6296.422066926956,7051.565593957901
83,leakyrelu,64,han,0.3,16,0.00016753243972,2,2,10,5e-05,0.4574074074074074,83,6512.73512840271,7054.032688856125
84,relu,256,han,0.4,16,8.499465672907011e-05,4,1,10,1e-05,0.8648148148148148,89,6962.50004196167,7345.181888818741
85,relu,32,han,0.3,32,4.9375739661699125e-05,3,2,10,0.0,0.8648148148148148,84,6692.866265296936,7392.269506692886
86,tanh,32,han,0.4,16,1.0968682415243138e-05,3,2,10,1e-05,0.8648148148148148,85,6728.181519985199,7442.21740937233
87,tanh,64,han,0.4,16,5.659506803020253e-05,3,2,6,1e-05,0.4574074074074074,90,7052.670459270477,7545.209890842438
88,elu,64,han,0.5,16,3.568024457662479e-05,5,4,7,0.0001,0.8648148148148148,91,7055.130539894104,7556.889579296112
89,sigmoid,32,han,0.2,16,1.3499308055443958e-05,2,8,9,0.0,0.4574074074074074,88,6949.628336191177,7619.3435134887695
