,p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective,job_id,m:timestamp_submit,m:timestamp_gather
0,elu,256,hgt,0.3,256,0.0159225611637258,6,2,4,5e-05,0.6264263295297879,5,0.0551331043243408,527.6237280368805
1,sigmoid,256,hgt,0.4,128,5.671542189490181e-05,9,8,5,1e-05,0.5921064210495438,4,0.0551245212554931,541.3181653022766
2,elu,256,han,0.1,64,0.0572109224721726,8,8,8,0.0001,0.5533865243026018,2,0.0551075935363769,547.6203632354736
3,tanh,256,hgt,0.4,128,0.0086320127259098,7,4,10,0.0,0.6264263295297879,1,0.0550980567932128,567.8639485836029
4,relu,64,hgt,0.5,128,0.001,1,2,1,0.0,0.6264263295297879,0,0.0550839900970459,696.9153707027435
5,leakyrelu,256,han,0.3,64,0.0011569869161101,7,2,4,0.0,0.5533865243026018,8,527.8174335956573,1194.1100170612335
6,leakyrelu,32,hgt,0.3,64,4.512619487621619e-05,4,2,9,5e-05,0.5674664867560353,3,0.0551161766052246,1195.407969236374
7,sigmoid,16,hgt,0.4,64,0.0006856430159759,7,4,1,1e-05,0.6264263295297879,7,0.0551490783691406,1345.6139125823977
8,tanh,16,hgt,0.0,128,0.0003092566961583,6,1,3,1e-05,0.6264263295297879,6,0.0551409721374511,1425.372180223465
9,tanh,64,han,0.3,32,0.0001549302690036,1,8,10,0.0,0.5,11,568.0355808734894,1511.3186042308807
10,tanh,32,han,0.5,32,0.0209570340638594,7,2,7,1e-05,0.5533865243026018,9,541.475864648819,1634.319679260254
11,sigmoid,32,han,0.4,128,0.0614633012060498,10,4,9,1e-05,0.5533865243026018,12,697.3579919338226,1869.894418001175
12,sigmoid,64,han,0.4,32,0.0002321660783843,6,4,10,0.0,0.5,15,1345.722337961197,2184.988442659378
13,tanh,16,han,0.1,64,0.0005399986848449,9,4,10,0.0,0.5,10,547.9907104969025,2257.758992910385
14,tanh,32,hgt,0.2,16,0.0246101549261794,2,2,2,0.0,0.6208530110586372,17,1512.8327782154083,2369.6623797416687
15,tanh,32,hgt,0.1,32,0.0217430029094251,1,4,3,1e-05,0.6264263295297879,18,1635.595298290253,2521.0655841827397
16,relu,16,hgt,0.3,256,1.5805287455843378e-05,8,8,5,0.0001,0.5921064210495438,13,1194.529174566269,2567.6083319187164
17,sigmoid,16,hgt,0.2,32,0.0899085815487336,4,1,5,0.0001,0.5921064210495438,14,1195.622926235199,2588.1631009578705
18,tanh,64,hgt,0.0,256,0.0733606129213986,6,4,10,5e-05,0.5,19,1871.8295259475708,2615.6190876960754
19,relu,16,han,0.4,128,0.0020720692746809,9,8,10,0.0,0.5533865243026018,16,1425.6425020694733,2862.525896072388
20,sigmoid,256,hgt,0.5,256,0.0001820000266258,7,4,1,5e-05,0.6208530110586372,25,2589.6380319595337,3045.287908554077
21,relu,64,hgt,0.4,256,0.0006821333292727,6,4,10,0.0001,0.5,22,2371.0221440792084,3086.0079419612885
22,leakyrelu,128,hgt,0.5,256,0.0271516237002929,6,4,4,1e-05,0.6264263295297879,26,2616.7485661506653,3165.446580171585
23,tanh,128,hgt,0.0,256,0.0009088312664967,6,4,10,1e-05,0.6264263295297879,24,2568.6416430473328,3172.2300148010254
24,elu,256,hgt,0.1,256,0.0090030467102485,6,1,3,0.0001,0.6264263295297879,27,2863.48321390152,3308.5635964870453
25,leakyrelu,16,hgt,0.4,32,0.0187116661656675,7,2,10,0.0,0.6264263295297879,20,2186.225970029831,3503.956048488617
26,elu,128,hgt,0.0,64,0.0007805643209659,9,1,3,1e-05,0.6264263295297879,28,3046.371218442917,3526.965329647064
27,sigmoid,16,hgt,0.5,16,0.0025864954392651,6,2,10,0.0,0.6264263295297879,21,2258.815126180649,3571.621188879013
28,elu,128,hgt,0.2,256,0.0006254582703013,4,4,4,1e-05,0.6264263295297879,30,3166.607004880905,3648.629781246185
29,leakyrelu,128,hgt,0.2,256,0.0038749971607927,1,1,10,1e-05,0.6264263295297879,31,3173.4147799015045,3731.045286178589
30,elu,32,hgt,0.2,256,0.0007973688008378,1,1,4,1e-05,0.6264263295297879,29,3087.2175858020782,3839.405686855316
31,leakyrelu,128,hgt,0.0,256,0.0006420553368567,7,2,10,1e-05,0.6264263295297879,32,3310.055318832397,3895.4987239837646
32,sigmoid,16,hgt,0.5,128,0.0008325353632309,7,2,10,1e-05,0.5,23,2522.145812511444,3935.237319946289
33,sigmoid,128,hgt,0.4,64,0.0006182462772244,7,4,10,0.0,0.5,33,3505.030946493149,4089.304714202881
34,leakyrelu,64,hgt,0.0,32,0.0022042703714807,8,1,10,1e-05,0.6264263295297879,34,3528.1676456928253,4209.094346046448
35,sigmoid,64,hgt,0.5,256,0.0096584111833695,7,4,10,1e-05,0.6264263295297879,35,3572.7373485565186,4273.6431086063385
36,elu,64,hgt,0.1,256,0.0128770953107588,3,1,3,5e-05,0.6264263295297879,37,3732.419138669968,4318.047516822815
37,elu,256,hgt,0.1,256,0.0126914578577612,2,1,8,0.0001,0.6264263295297879,39,3896.9678766727448,4328.863783359528
38,tanh,64,hgt,0.1,256,0.0002828565285248,7,4,10,1e-05,0.6264263295297879,36,3649.968195915222,4346.499203681946
39,sigmoid,32,hgt,0.5,32,0.0576594462556124,6,4,10,1e-05,0.5865331025783931,38,3840.785973548889,4679.679446697235
40,relu,128,hgt,0.4,128,0.0033377602861994,6,4,10,0.0,0.6264263295297879,43,4274.926218986511,4797.954621076584
41,elu,128,hgt,0.4,128,0.0137526432798492,1,4,10,0.0001,0.6264263295297879,45,4330.016907215118,4852.194177627564
42,leakyrelu,128,hgt,0.3,64,0.003141762623554,5,4,10,0.0,0.6264263295297879,46,4347.532199382782,4864.701107263565
43,elu,16,hgt,0.5,128,0.0091783172551144,9,1,10,1e-05,0.6264263295297879,40,3936.251011610031,5185.689401626587
44,elu,16,hgt,0.5,256,0.0028548295431206,4,4,9,0.0,0.6264263295297879,41,4090.325335264206,5251.455151557922
45,sigmoid,64,hgt,0.1,128,0.0007100911868452,8,4,9,1e-05,0.6264263295297879,47,4681.195370197296,5290.509282112122
46,elu,128,hgt,0.4,128,0.0006219437314801,7,1,10,1e-05,0.5190666158223578,48,4798.977466821671,5321.203770875931
47,leakyrelu,128,hgt,0.3,64,0.0016931699900916,4,4,10,0.0,0.6264263295297879,49,4853.204486370087,5371.864476203919
48,leakyrelu,16,hgt,0.5,128,0.016903535953113,8,4,10,0.0,0.6264263295297879,42,4210.681208610535,5407.542475938797
49,relu,64,hgt,0.5,128,0.0006954878343729,5,2,10,0.0,0.5,50,4865.936942577362,5477.444618225098
50,elu,16,hgt,0.4,128,0.0005642525357419,9,2,10,0.0,0.5,44,4319.073011398315,5505.39950299263
51,relu,128,hgt,0.4,64,0.0015120891337076,9,1,7,1e-05,0.5921064210495438,53,5292.07030415535,5800.383743286133
52,leakyrelu,64,hgt,0.4,64,0.0004898530989366,7,4,10,1e-05,0.5,52,5252.914015769959,5888.744209766388
53,relu,128,hgt,0.4,64,0.0015523673872373,9,4,9,0.0,0.5865331025783931,55,5372.866518974304,5900.424281358719
54,tanh,128,hgt,0.3,256,0.0005403519409049,1,4,10,1e-05,0.5921064210495438,57,5478.653272390366,6023.281318426132
55,elu,64,hgt,0.5,256,0.0005341022941692,5,4,10,0.0,0.5,56,5408.742827177048,6042.654672622681
56,tanh,16,hgt,0.0,64,0.0004981535916602,9,4,8,1e-05,0.6264263295297879,51,5186.7520871162415,6357.18469119072
57,elu,16,hgt,0.5,128,0.0010299258869213,8,4,8,1e-05,0.5674664867560353,54,5322.536693811417,6507.181278705597
58,elu,64,hgt,0.1,256,0.0006448143323077,3,4,10,0.0001,0.6264263295297879,61,5901.590252161026,6525.0474326610565
59,leakyrelu,32,hgt,0.3,128,0.0009748718248375,1,2,10,0.0,0.6264263295297879,59,5801.51155090332,6603.412650346756
60,leakyrelu,64,hgt,0.5,256,0.0033130139990622,5,2,7,0.0,0.6264263295297879,63,6043.891671895981,6618.116349697113
61,elu,64,hgt,0.0,256,0.0002260882035876,8,2,10,0.0001,0.6264263295297879,62,6024.347923755646,6641.026857376099
62,relu,16,hgt,0.5,256,0.0016313251156659,5,2,10,0.0,0.5674664867560353,58,5506.519179821014,6717.99072599411
63,leakyrelu,64,hgt,0.0,256,0.0039594213244006,3,8,10,5e-05,0.6264263295297879,64,6358.582718610764,6977.277812004089
64,leakyrelu,128,hgt,0.1,256,0.0305427174020871,7,4,7,0.0001,0.6264263295297879,65,6508.604410409927,7034.057985067368
65,elu,16,hgt,0.1,128,0.0004755004223309,9,1,10,1e-05,0.6264263295297879,60,5890.000776529312,7206.2025418281555
66,relu,64,hgt,0.1,128,0.0121141136372174,4,1,10,5e-05,0.6264263295297879,68,6619.141306400299,7363.553409814835
67,elu,64,hgt,0.2,128,0.0007621732877589,6,4,10,0.0,0.6264263295297879,70,6719.296420574188,7498.090846061706
68,tanh,32,hgt,0.0,32,0.0018707582664388,4,4,10,5e-05,0.6264263295297879,66,6526.095258712769,7502.500018119812
69,elu,32,hgt,0.4,256,0.015055099614537,10,2,10,1e-05,0.6264263295297879,67,6604.497692346573,7640.733258962631
70,sigmoid,32,hgt,0.0,256,0.0006382440832461,4,2,10,5e-05,0.6264263295297879,69,6642.092200279236,7681.654711484909
71,elu,128,hgt,0.1,256,0.0762181628269495,3,4,6,1e-05,0.6264263295297879,72,7035.869929552078,7760.512381076813
72,tanh,256,hgt,0.0,256,0.0107919538152086,9,4,6,5e-05,0.6264263295297879,78,7683.685663461685,8269.76120352745
73,elu,64,hgt,0.0,256,0.0443808854873343,1,4,8,5e-05,0.5,76,7504.419903516769,8365.599683761597
74,elu,32,hgt,0.0,256,0.0774138819380793,8,1,10,0.0001,0.6264263295297879,73,7207.485925912857,8379.306356191635
75,tanh,128,hgt,0.0,256,0.0121244751011564,2,4,10,0.0001,0.6264263295297879,77,7642.477328300476,8392.546622276306
76,tanh,64,hgt,0.0,64,0.0113434434955426,4,4,10,0.0001,0.6264263295297879,75,7499.9397184848785,8397.383848667145
