p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather
sigmoid,256,hgt,0.4,128,5.671542189490181e-05,9,8,5,1e-05,0.6240740740740741,0.6208530110586372,0.6533998250961304,4,0.2937934398651123,436.07058668136597
elu,256,han,0.1,64,0.05721092247217263,8,8,8,0.0001,0.45740740740740743,0.5533865243026018,0.6870155334472656,2,0.2937753200531006,458.9777321815491
elu,256,hgt,0.3,256,0.015922561163725885,6,2,4,5e-05,0.45740740740740743,0.5533865243026018,0.68702632188797,5,0.29380249977111816,461.3985252380371
tanh,256,hgt,0.4,128,0.008632012725909877,7,4,10,0.0,0.6240740740740741,0.6208530110586372,0.6599904298782349,1,0.2937650680541992,478.48345923423767
relu,64,hgt,0.5,128,0.001,1,2,1,0.0,0.6240740740740741,0.6208530110586372,0.6561548709869385,0,0.2937495708465576,531.2194316387177
leakyrelu,32,hgt,0.3,64,4.512619487621619e-05,4,2,9,5e-05,0.2388888888888889,0.5483998709336776,0.6843052506446838,3,0.29378414154052734,856.7956838607788
leakyrelu,256,han,0.3,64,0.0011569869161101383,7,2,4,0.0,0.45740740740740743,0.5533865243026018,0.6871001124382019,8,436.1946029663086,876.5686118602753
sigmoid,16,hgt,0.4,64,0.0006856430159759417,7,4,1,1e-05,0.6240740740740741,0.6208530110586372,1.2481584548950195,7,0.2938206195831299,973.5741457939148
tanh,16,hgt,0.0,128,0.00030925669615839454,6,1,3,1e-05,0.6537037037037037,0.6264263295297879,1.253548502922058,6,0.2938117980957031,1047.5547280311584
tanh,64,han,0.3,32,0.00015493026900363969,1,8,10,0.0,0.8648148148148148,0.5,0.6994131207466125,11,478.5998213291168,1133.1672027111053
tanh,32,han,0.5,32,0.02095703406385949,7,2,7,1e-05,0.45740740740740743,0.5533865243026018,0.6872298717498779,9,459.1832273006439,1208.5942888259888
sigmoid,32,han,0.4,128,0.06146330120604982,10,4,9,1e-05,0.45740740740740743,0.5533865243026018,0.6873458027839661,12,531.4223973751068,1340.9711418151855
sigmoid,64,han,0.4,32,0.00023216607838430034,6,4,10,0.0,0.8648148148148148,0.5,0.6995431780815125,15,973.7620265483856,1597.9700980186462
tanh,128,han,0.3,32,0.00013354272719771378,1,8,9,0.0,0.8648148148148148,0.5,0.7068654298782349,18,1209.68727684021,1742.3598420619965
tanh,16,han,0.1,64,0.0005399986848449222,9,4,10,0.0,0.45740740740740743,0.5533865243026018,1.342483937740326,10,461.5063886642456,1744.4330217838287
tanh,32,han,0.3,16,2.365254152783418e-05,1,8,9,0.0,0.8648148148148148,0.5,0.6912087202072144,17,1133.9577629566193,1913.1657111644745
relu,16,hgt,0.3,256,1.5805287455843378e-05,8,8,5,0.0001,0.3648148148148148,0.5865331025783931,1.2681801319122314,13,856.9236855506897,1931.0613758563995
sigmoid,16,hgt,0.2,32,0.08990858154873364,4,1,5,0.0001,0.39444444444444443,0.5921064210495438,1.303048014640808,14,876.6825838088989,2011.5601358413696
elu,32,han,0.0,32,0.00025621788886465803,1,8,10,0.0001,0.8648148148148148,0.5,3.2559666633605957,19,1342.03599858284,2168.6566576957703
relu,16,han,0.4,128,0.0020720692746809127,9,8,10,0.0,0.45740740740740743,0.5533865243026018,1.3618077039718628,16,1047.6877763271332,2230.051234483719
tanh,128,han,0.1,16,1.3322640448639365e-05,2,1,10,0.0,0.45740740740740743,0.5533865243026018,0.6870966553688049,22,1745.4294531345367,2284.0000348091125
sigmoid,32,hgt,0.0,256,2.9237328405608244e-05,5,1,2,5e-05,0.6240740740740741,0.6208530110586372,0.6619153618812561,21,1743.3380887508392,2407.772762775421
tanh,16,hgt,0.0,256,0.0001039611626755265,3,1,3,0.0001,0.6537037037037037,0.6264263295297879,1.2612495422363281,20,1598.8592638969421,2611.297422170639
tanh,128,hgt,0.0,128,3.6013304294466126e-05,8,1,2,0.0001,0.6240740740740741,0.6208530110586372,0.65725177526474,27,2230.9602863788605,2736.4665274620056
elu,32,han,0.0,32,0.053051559847780816,1,8,10,0.0001,0.45740740740740743,0.5533865243026018,0.6871969699859619,26,2169.7802402973175,2983.176986217499
elu,64,han,0.4,16,0.0002399790425546731,3,8,8,0.0001,0.8648148148148148,0.5,0.7014198899269104,29,2408.852118730545,3011.5775339603424
tanh,16,hgt,0.0,128,5.18591674686521e-05,3,1,3,5e-05,0.6537037037037037,0.6264263295297879,1.2427991032600403,25,2012.8025290966034,3012.655110359192
elu,16,han,0.0,128,0.034787880513099376,10,4,10,0.0,0.13518518518518519,0.5,1.6657045483589172,24,1932.1211116313934,3071.5782029628754
tanh,16,han,0.0,16,2.045748921521714e-05,10,2,10,0.0,0.8648148148148148,0.5,750.6846313476562,23,1914.2257723808289,3084.149625301361
tanh,16,hgt,0.1,32,0.0004449853996095436,5,4,2,0.0001,0.6537037037037037,0.6264263295297879,1.2431824803352356,28,2285.1149096488953,3309.9429552555084
elu,128,han,0.0,16,0.0008050374679668755,1,8,4,0.0001,0.45740740740740743,0.5533865243026018,0.6875221133232117,32,2984.445268392563,3467.091579914093
elu,256,han,0.0,16,1.1812889940495979e-05,1,4,9,0.0001,0.13518518518518519,0.5,64.74790954589844,35,3072.9849655628204,3523.0277779102325
leakyrelu,64,han,0.5,16,1.2778176991597472e-05,6,4,10,0.0,0.8648148148148148,0.5,0.7012608647346497,34,3013.8478865623474,3652.6279423236847
leakyrelu,64,han,0.4,32,3.8175208425252514e-05,10,4,10,5e-05,0.8648148148148148,0.5,0.6941035985946655,36,3085.1409981250763,3739.7330226898193
tanh,16,hgt,0.0,128,4.9849284974145284e-05,1,4,10,0.0,0.6537037037037037,0.6264263295297879,1.2283755540847778,30,2612.241751909256,3893.6353857517242
tanh,16,hgt,0.0,64,0.00011327032288389721,6,4,8,0.0,0.6537037037037037,0.6264263295297879,1.2308438420295715,31,2737.687821149826,3950.4716832637787
leakyrelu,64,han,0.3,16,9.005591367582795e-05,4,8,10,0.0001,0.8648148148148148,0.5,0.6992723941802979,38,3468.61478638649,4089.702054977417
relu,32,han,0.0,16,1.849291652294736e-05,10,2,10,0.0,0.8648148148148148,0.5,110.26802825927734,37,3311.4020104408264,4095.745609998703
leakyrelu,16,han,0.0,32,0.0001267705528520445,3,8,8,0.0001,0.5425925925925926,0.44661347569739807,3.034047245979309,33,3012.6543724536896,4227.83024930954
elu,32,han,0.0,32,1.0042942834609164e-05,10,2,5,0.0,0.8648148148148148,0.5,0.6914725303649902,40,3654.1907918453217,4323.348871946335
tanh,32,han,0.0,32,2.4218205331448947e-05,9,1,10,0.0,0.13518518518518519,0.5,123.82669067382812,41,3741.0811438560486,4515.959673643112
tanh,64,han,0.0,32,5.318172241325052e-05,10,2,8,0.0,0.45740740740740743,0.5533865243026018,0.7116172313690186,43,3951.5682742595673,4526.581279039383
tanh,16,han,0.1,16,5.862364342235293e-05,10,4,7,0.0,0.45740740740740743,0.5533865243026018,1.3647528290748596,39,3524.0648527145386,4567.2846920490265
