,p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective,job_id,m:timestamp_submit,m:timestamp_gather
0,elu,256,hgt,0.3,256,0.0159225611637258,6,2,4,5e-05,0.8648148148148148,5,0.0412032604217529,1203.2274181842804
1,sigmoid,256,hgt,0.4,128,5.671542189490181e-05,9,8,5,1e-05,0.3648148148148148,4,0.0411946773529052,1220.3210680484772
2,elu,256,han,0.1,64,0.0572109224721726,8,8,8,0.0001,0.4574074074074074,2,0.0411760807037353,1235.9507517814636
3,tanh,256,hgt,0.4,128,0.0086320127259098,7,4,10,0.0,0.6240740740740741,1,0.0411653518676757,1278.055656671524
4,relu,64,hgt,0.5,128,0.001,1,2,1,0.0,0.6240740740740741,0,0.0411489009857177,1443.612122297287
5,leakyrelu,32,hgt,0.3,64,4.512619487621619e-05,4,2,9,5e-05,0.3648148148148148,3,0.0411856174468994,2417.344462633133
6,leakyrelu,256,han,0.3,64,0.0011569869161101,7,2,4,0.0,0.4574074074074074,8,1203.3895618915558,2547.8547644615173
7,sigmoid,16,hgt,0.4,64,0.0006856430159759,7,4,1,1e-05,0.6240740740740741,7,0.0412209033966064,2795.122462749481
8,tanh,16,hgt,0.0,128,0.0003092566961583,6,1,3,1e-05,0.8648148148148148,6,0.0412125587463378,3002.788367509842
9,tanh,64,han,0.3,32,0.0001549302690036,1,8,10,0.0,0.8648148148148148,11,1278.45410490036,3235.334063053131
10,tanh,32,han,0.5,32,0.0209570340638594,7,2,7,1e-05,0.4574074074074074,9,1220.533448934555,3593.2600045204163
11,sigmoid,32,han,0.4,128,0.0614633012060498,10,4,9,1e-05,0.8648148148148148,12,1443.7360706329346,3914.7759466171274
12,sigmoid,64,han,0.4,32,0.0002321660783843,6,4,10,0.0,0.8648148148148148,15,2795.344941854477,4448.35812830925
13,tanh,16,han,0.1,64,0.0005399986848449,9,4,10,0.0,0.8648148148148148,10,1236.1395771503448,4565.206402540207
14,tanh,64,han,0.1,256,1.2859301701319169e-05,3,1,7,5e-05,0.8648148148148148,17,3236.8458416461945,4703.666840791702
15,sigmoid,64,hgt,0.0,256,4.674527972551963e-05,4,1,3,5e-05,0.8648148148148148,18,3594.8599178791046,4894.647707700729
16,relu,16,hgt,0.3,256,1.5805287455843378e-05,8,8,5,0.0001,0.3648148148148148,13,2417.523888349533,5234.059417724609
17,tanh,64,han,0.1,256,7.031265137179967e-05,10,8,8,0.0,0.4574074074074074,19,3915.6906640529633,5275.951359987259
18,sigmoid,16,hgt,0.2,32,0.0899085815487336,4,1,5,0.0001,0.8648148148148148,14,2548.014627933502,5537.844122648239
19,relu,16,han,0.4,128,0.0020720692746809,9,8,10,0.0,0.8648148148148148,16,3002.9483177661896,6018.420733690262
20,sigmoid,32,han,0.3,256,0.0002597594083804,6,8,6,0.0001,0.8648148148148148,20,4449.68551659584,6353.46079158783
21,tanh,32,han,0.0,32,0.0141268065458128,3,1,10,5e-05,0.8648148148148148,21,4566.7291650772095,6821.346992254257
22,sigmoid,32,han,0.4,128,0.0003103196044334,9,8,9,5e-05,0.8648148148148148,23,4895.968623161316,7246.454512834549
23,elu,32,hgt,0.0,256,9.707414185487604e-05,4,1,5,5e-05,0.8648148148148148,24,5235.117514133453,7495.594504356384
24,sigmoid,16,han,0.3,256,7.044589789117566e-05,9,2,4,1e-05,0.4574074074074074,22,4704.683052539825,7522.884000301361
25,elu,32,hgt,0.0,256,0.0003240013394582,5,1,4,5e-05,0.8648148148148148,26,5539.748240709305,7752.3872153759
26,elu,64,han,0.1,256,0.000101138875409,6,4,10,5e-05,0.4574074074074074,27,6020.398348331451,8024.308492183685
27,elu,64,han,0.2,256,5.23618855748329e-05,5,1,9,0.0001,0.1351851851851851,28,6355.790299415588,8393.377780914307
28,sigmoid,16,han,0.3,64,0.0001285363811926,5,1,10,5e-05,0.8648148148148148,25,5276.876729726791,9190.503480196
29,leakyrelu,32,hgt,0.0,64,0.0032772086846671,3,1,9,0.0001,0.8648148148148148,31,7497.249619245529,10238.734401464462
30,elu,32,hgt,0.2,128,0.0337366455127386,3,1,8,5e-05,0.8648148148148148,33,7753.595631122589,10419.791664361954
31,elu,16,han,0.2,256,0.0022737773188912,5,1,10,0.0001,0.8648148148148148,29,6823.411474466324,10667.19411468506
32,leakyrelu,32,hgt,0.0,64,0.0341662020880733,2,1,6,0.0001,0.8648148148148148,35,8395.172509670258,10724.141265153885
33,relu,16,hgt,0.0,64,1.2422783942829242e-05,4,1,4,5e-05,0.8648148148148148,32,7524.066834926605,10751.950003623962
34,elu,16,han,0.2,32,0.0003337730489305,6,1,10,5e-05,0.8648148148148148,30,7247.60325050354,10959.485322237017
35,tanh,16,hgt,0.3,128,1.6565861510210767e-05,4,1,6,0.0001,0.3648148148148148,34,8026.439430475235,11361.448583602903
36,sigmoid,64,han,0.3,16,3.454987477746779e-05,4,1,8,0.0001,0.4574074074074074,37,10240.137447357178,11721.940065145493
37,leakyrelu,16,han,0.0,256,0.0050123643234928,3,1,5,0.0001,0.8648148148148148,36,9192.379764556885,12129.118941783903
38,leakyrelu,64,han,0.0,32,3.238636267411803e-05,2,1,6,5e-05,0.8648148148148148,39,10669.142134666445,12295.53153347969
39,sigmoid,64,han,0.1,16,2.437411284296421e-05,5,1,9,0.0001,0.8648148148148148,41,10753.148386478424,12570.919836044312
40,relu,64,han,0.2,64,2.4365409446069028e-05,2,1,10,0.0001,0.1351851851851851,40,10725.58253121376,12580.555403232574
41,sigmoid,32,han,0.2,256,0.0001155494830761,5,1,9,0.0001,0.4574074074074074,38,10420.96017074585,12633.402678012848
42,relu,64,han,0.2,32,0.0001829274942919,4,1,10,0.0001,0.8648148148148148,42,10960.691865205765,12912.241127490995
