p:batch_size,p:conv_type,p:dropout,p:hidden_channels,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:weight_decay,objective,job_id,m:timestamp_submit,m:timestamp_gather
64,hgt,0.5,128,128,0.001,1,2,0.0,0.02697844420456224,0,0.04582786560058594,38.34554839134216
256,hgt,0.2,32,16,0.0011232106990687267,1,2,0.0,0.007068305015563965,1,38.392579793930054,56.32215714454651
16,han,0.3,32,16,2.1164925688605084e-05,8,4,0.0001,3.9432055354118347,2,56.42526936531067,100.80636477470398
32,han,0.0,64,16,2.7075960458564593e-05,3,1,5e-05,0.5529295168817043,3,100.8432388305664,134.4522316455841
16,hgt,0.3,64,256,6.191688449659319e-05,6,1,0.0001,0.4786869287490845,4,134.49210357666016,201.914208650589
64,hgt,0.1,256,256,6.218169696201842e-05,4,2,1e-05,0.023840212987528905,5,201.95317721366882,271.9810163974762
128,hgt,0.1,16,256,0.0002492395183253087,7,1,1e-05,0.02978198289871216,6,272.08317279815674,289.01138043403625
256,hgt,0.5,32,256,0.018692884262963016,2,2,0.0001,0.007589927911758423,7,289.04970622062683,307.36433005332947
32,han,0.3,16,64,0.00015059794523837852,8,1,5e-05,0.4646623022854328,8,307.4036500453949,333.83383989334106
16,han,0.5,128,128,1.9356791240571715e-05,7,2,0.0001,1.4634195864200592,9,333.92633533477783,390.5190534591675
